seed,alpha,groups,margin,truth,v_unif,v_star,ratio
107,0.05,21,0.003028846085835722,0.8869019903426311,1.1548137415621218,0.6736938414146162,1.714152142369677
107,0.1,21,0.04697115391416428,1.1783067647421368,4.517545871106494,2.9509825896736115,1.530861580449429
107,0.2,21,0.03823465454410291,1.4347400187313257,7.435253911338231,5.124684566455548,1.4508705491859712
108,0.05,21,0.019635532421394,0.6347136103415059,8.202725355708287,4.496080868239082,1.8244167745410096
108,0.1,21,0.003907722836671651,0.8173568051707529,2.0506813389270717,1.1240202170597704,1.8244167745410096
108,0.2,21,0.0447777247119468,1.1489090954936974,4.304214709512104,2.559724191990395,1.6815150331353572
109,0.05,21,0.016945522236238256,0.3853441369778721,0.8475022775512832,0.5852709176075102,1.4480512392717735
109,0.1,21,0.03305447776376175,0.6079444573077448,4.860663571165975,3.39825171887945,1.4303424152371929
109,0.2,21,0.0017137439762870965,0.8039722286538724,1.2151658927914937,0.8495629297198625,1.4303424152371929
110,0.05,21,0.022992541688601764,0.7763068372620529,5.691775797975465,1.9693419391155245,2.890191736094225
110,0.1,21,0.02700745831139824,1.0231907101880178,16.37894869240194,5.2566226481354255,3.1158692165608866
110,0.2,21,0.014357444338167713,1.297488965939428,20.514950882717162,6.852625760150404,2.99373577381335
111,0.05,21,0.019059796571682164,0.8100153963635284,3.1099691492386943,1.5870871885041726,1.9595452422307282
111,0.1,21,0.03094020342831784,1.0597087153233533,8.970329384458731,4.900541363994913,1.8304772306107286
111,0.2,21,0.014519221064674293,1.3161524103233626,11.999567458389137,6.924735124458487,1.7328558049832268
112,0.05,21,0.0013577475326652794,0.9089254942283793,17.789223704947105,9.426788453233423,1.8870927032254912
112,0.1,21,0.0423379603997395,1.2044627471141895,4.447305926236776,2.3566971133083556,1.8870927032254912
112,0.2,21,0.057662039600260506,1.496386472557746,8.377620320405262,4.114526700742706,2.0361079000637017
113,0.05,21,0.0006822512016333299,0.8810614585996783,1.208075385270477,0.7466696150149646,1.617951716498153
113,0.1,21,0.04931774879836667,1.1871194732916726,4.785931826687721,2.934982315033914,1.6306509930818507
113,0.2,21,0.04340040233513076,1.4520607424836631,8.17040732047871,5.071695324390208,1.6109814959085842
114,0.05,21,0.026163284895133337,1.231551829965224,9.085450043153093,2.9889117904624642,3.0397183590845724
114,0.1,21,0.023836715104866665,1.4849594905069452,17.37269697620223,6.693792381537739,2.5953444603567566
114,0.2,21,0.00473376486089766,1.7543141574057168,19.073756265508646,8.343904545831741,2.285950919109817
115,0.05,21,0.0073393230617737615,0.8507157583820016,1.4753606949909803,1.0724920132777243,1.3756379317753784
115,0.1,21,0.04266067693822624,1.138661263882132,4.872007207501799,3.620747564643025,1.345580469369766
115,0.2,21,0.032211094879305374,1.3998583691393294,7.760483467617008,5.735304482510341,1.353107492598239
116,0.05,21,0.012477697799784679,0.4046363046493184,0.6827333915398172,0.40275856387803105,1.6951430776939904
116,0.1,21,0.037522302200215324,0.6399296633257359,5.097897051026109,2.903708394018082,1.755650485265072
116,0.2,21,0.014389715218333654,0.8559391197087021,10.004538625658185,5.510587789310512,1.8155120666192959
