environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,comparison,replications,mean_difference,se,ci95_low,ci95_high
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,oracle_tail-minus-tis,400,-9.092419082984055e-06,2.978888045399599e-06,-1.493103965196727e-05,-3.2537985140008407e-06
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,reachability_only-minus-tis,400,1.469154820871652e-06,5.162640472991625e-06,-8.649620506191932e-06,1.1587930147935236e-05
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,uniform-minus-tis,400,5.774525828187718e-05,9.141793505339474e-06,3.9827343011411805e-05,7.566317355234255e-05
inventory_untied_v1,0.1,150.0,per_group,150,6150,local_only-minus-tis,300,0.0009011741305223991,0.00015127479356747198,0.000604675535130154,0.0011976727259146443
inventory_untied_v1,0.1,150.0,per_group,150,6150,oracle_tail-minus-tis,300,-0.0002762829322773717,5.781959518629143e-05,-0.0003896093388425029,-0.00016295652571224052
inventory_untied_v1,0.1,150.0,per_group,150,6150,reachability_only-minus-tis,300,8.424312971844992e-05,9.182764233491756e-05,-9.573904925798849e-05,0.0002642253086948883
inventory_untied_v1,0.1,150.0,per_group,150,6150,uniform-minus-tis,300,0.00022539413319481525,7.283082988640494e-05,8.264570661746157e-05,0.00036814255977216895
inventory_untied_v1,0.1,300.0,per_group,300,12300,local_only-minus-tis,300,0.0006345080536622481,9.043862731179474e-05,0.00045724834413113044,0.0008117677631933658
inventory_untied_v1,0.1,300.0,per_group,300,12300,oracle_tail-minus-tis,300,-8.507310808538934e-05,2.0635646313942095e-05,-0.00012551897486071583,-4.462724131006284e-05
inventory_untied_v1,0.1,300.0,per_group,300,12300,reachability_only-minus-tis,300,0.00024477123272330197,4.866884134369186e-05,0.00014938030368966593,0.000340162161756938
inventory_untied_v1,0.1,300.0,per_group,300,12300,uniform-minus-tis,300,0.00016903273435702604,4.1623552841650454e-05,8.745057078739115e-05,0.00025061489792666095
inventory_untied_v1,0.1,600.0,per_group,600,24600,local_only-minus-tis,300,0.00035671367307262166,4.025697711352895e-05,0.00027780999793010493,0.0004356173482151384
inventory_untied_v1,0.1,600.0,per_group,600,24600,oracle_tail-minus-tis,300,-2.4173658230595142e-05,8.352437833877719e-06,-4.054443638499547e-05,-7.802880076194813e-06
inventory_untied_v1,0.1,600.0,per_group,600,24600,reachability_only-minus-tis,300,0.00012287084182473958,2.3676441254830545e-05,7.646501696527171e-05,0.00016927666668420746
inventory_untied_v1,0.1,600.0,per_group,600,24600,uniform-minus-tis,300,0.00012891414155135537,1.9776953346113626e-05,9.015131299297267e-05,0.00016767697010973808
inventory_untied_v1,0.1,1200.0,per_group,1200,49200,local_only-minus-tis,300,0.00016977848259394832,2.1866817041378984e-05,0.00012691952119284552,0.00021263744399505112
inventory_untied_v1,0.1,1200.0,per_group,1200,49200,oracle_tail-minus-tis,300,-1.5426040768437486e-05,4.644824020751937e-06,-2.452989584911128e-05,-6.32218568776369e-06
inventory_untied_v1,0.1,1200.0,per_group,1200,49200,reachability_only-minus-tis,300,6.106577725780623e-05,1.2345805362741436e-05,3.686799874683301e-05,8.526355576877944e-05
inventory_untied_v1,0.1,1200.0,per_group,1200,49200,uniform-minus-tis,300,6.036589611705142e-05,1.1050670762351068e-05,3.8706581422843334e-05,8.202521081125951e-05
