case,budget_per_block,replication,method,truth,error
4,150,15,complete_rollout,1.1762926826312994,0.05026981736870062
4,150,16,uniform,1.1762926826312994,0.01358961900183897
4,150,16,learned_occupancy,1.1762926826312994,0.037309746524313736
4,150,16,learned_mean,1.1762926826312994,0.013214691643782972
4,150,16,tis,1.1762926826312994,-0.0004424344557050208
4,150,16,tis_anchored,1.1762926826312994,0.0227788448757964
4,150,16,occ_plus_uniform,1.1762926826312994,0.035656059572499066
4,150,16,occ_plus_mean,1.1762926826312994,0.030049002547029025
4,150,16,oracle_tail,1.1762926826312994,0.008571150902814129
4,150,16,complete_rollout,1.1762926826312994,0.10886356736870062
4,150,17,uniform,1.1762926826312994,-0.0035766491951632062
4,150,17,learned_occupancy,1.1762926826312994,-0.044554698622568445
4,150,17,learned_mean,1.1762926826312994,-0.04037216338078897
4,150,17,tis,1.1762926826312994,-0.012926942690369314
4,150,17,tis_anchored,1.1762926826312994,-0.014552936746818013
4,150,17,occ_plus_uniform,1.1762926826312994,-0.008656001483002163
4,150,17,occ_plus_mean,1.1762926826312994,-0.03510441322514457
4,150,17,oracle_tail,1.1762926826312994,-0.021772145040203084
4,150,17,complete_rollout,1.1762926826312994,-0.02134476596463264
4,150,18,uniform,1.1762926826312994,-0.008710405193890214
4,150,18,learned_occupancy,1.1762926826312994,0.016031365356996785
4,150,18,learned_mean,1.1762926826312994,0.00365539091328837
4,150,18,tis,1.1762926826312994,0.01578828508800223
4,150,18,tis_anchored,1.1762926826312994,0.0007069402654811263
4,150,18,occ_plus_uniform,1.1762926826312994,-0.012581108767482307
4,150,18,occ_plus_mean,1.1762926826312994,0.018175252780196827
4,150,18,oracle_tail,1.1762926826312994,-0.0019883510012979055
4,150,18,complete_rollout,1.1762926826312994,-0.04087601596463264
4,150,19,uniform,1.1762926826312994,-0.0956621999154661
4,150,19,learned_occupancy,1.1762926826312994,-0.058527340911270986
4,150,19,learned_mean,1.1762926826312994,-0.07180841089670165
4,150,19,tis,1.1762926826312994,-0.054911834932535264
4,150,19,tis_anchored,1.1762926826312994,-0.05850549354512613
