environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,replication,method,truth,estimate,error,squared_error,pilot_per_group,pilot_total,main_total,exploration,design_constant,mc_ucb_score_range,mc_ucb_beta
cliffwalking_primary,0.1,50.0,per_group,50,7450,9,occupancy,11.870935383221072,11.710123067319842,-0.16081231590123046,0.02586060094551714,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,9,mean_influence,11.870935383221072,11.813349688699182,-0.05758569452189022,0.003316112213568457,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,9,mc_ucb_frozen,11.870935383221072,14.291723661416583,2.420788278195511,5.860215887848787,11,1639,5811,0.10763683815158194,9442.608858106982,16.093131336710446,101.39558204371563
cliffwalking_primary,0.1,50.0,per_group,50,7450,9,tis,11.870935383221072,11.816041141144678,-0.054894242076393596,0.003013377813141701,11,1639,5811,0.10763683815158194,169.2715330730695,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,9,oracle_tail,11.870935383221072,11.831914996764805,-0.03902038645626682,0.001522590559196411,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,9,tail_no_cov,11.870935383221072,11.816478860871936,-0.05445652234913645,0.0029655128263619975,11,1639,5811,0.10763683815158194,170.53534700576998,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,9,learned_mean,11.870935383221072,11.812323086407932,-0.05861229681313951,0.003435401337711564,11,1639,5811,0.10763683815158194,229.64732141577025,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,9,oracle_no_cov,11.870935383221072,11.81139622330089,-0.05953915992018288,0.003544911564001112,0,0,7450,0.10763683815158194,109.91956953494487,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,10,uniform,11.870935383221072,12.938445065761412,1.06750968254034,1.1395769223173777,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,10,occupancy,11.870935383221072,11.672057600318967,-0.19887778290210534,0.03955237253205694,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,10,mean_influence,11.870935383221072,11.723869304803396,-0.1470660784176765,0.02162843142115417,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,10,mc_ucb_frozen,11.870935383221072,12.236078149433379,0.36514276621230657,0.13332923971717517,11,1639,5811,0.10763683815158194,9240.425890610746,19.22558343361367,121.13175376469304
cliffwalking_primary,0.1,50.0,per_group,50,7450,10,tis,11.870935383221072,11.811700951193243,-0.05923443202782863,0.0035087179376594503,11,1639,5811,0.10763683815158194,143.27552341057014,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,10,oracle_tail,11.870935383221072,11.78828545844414,-0.08264992477693234,0.006831010065632574,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,10,tail_no_cov,11.870935383221072,11.768270318573403,-0.10266506464766856,0.010540115499109964,11,1639,5811,0.10763683815158194,143.0183200643728,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,10,learned_mean,11.870935383221072,11.69415315607441,-0.1767822271466617,0.03125195583493389,11,1639,5811,0.10763683815158194,174.0433745217293,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,10,oracle_no_cov,11.870935383221072,11.78545506366154,-0.08548031955953128,0.007306885031999586,0,0,7450,0.10763683815158194,109.91956953494487,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,11,uniform,11.870935383221072,11.20911269643659,-0.6618226867844825,0.43800926874263124,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,11,occupancy,11.870935383221072,11.436653905062395,-0.43428147815867746,0.18860040227168584,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,11,mean_influence,11.870935383221072,11.507406134161759,-0.3635292490593134,0.1321535149216283,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,11,mc_ucb_frozen,11.870935383221072,10.79574037507367,-1.0751950081474018,1.1560443055450913,11,1639,5811,0.10763683815158194,9240.425890610746,16.521108584062457,104.09207417994365
cliffwalking_primary,0.1,50.0,per_group,50,7450,11,tis,11.870935383221072,11.402477546131223,-0.4684578370898489,0.2194527451308994,11,1639,5811,0.10763683815158194,150.57246087873156,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,11,oracle_tail,11.870935383221072,11.539266301257301,-0.33166908196377065,0.11000437993069041,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,11,tail_no_cov,11.870935383221072,11.391917480299877,-0.4790179029211945,0.22945815131901892,11,1639,5811,0.10763683815158194,151.59853199794574,,
