environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,comparison,replications,mean_difference,se,ci95_low,ci95_high
frozenlake_8x8,0.2,200.0,per_group,200,10000,mean_influence-minus-tis,300,-0.011815484445914359,0.0013657495490107107,-0.014492353561975351,-0.009138615329853366
frozenlake_8x8,0.2,200.0,per_group,200,10000,occupancy-minus-tis,300,-0.0002287159613804061,0.0018061817514686883,-0.0037688321942590352,0.0033114002714982227
frozenlake_8x8,0.2,200.0,per_group,200,10000,oracle_no_cov-minus-tis,300,-0.011362887783046576,0.0014304768900287408,-0.014166622487502908,-0.008559153078590244
frozenlake_8x8,0.2,200.0,per_group,200,10000,oracle_tail-minus-tis,300,-0.011815484445914359,0.0013657495490107107,-0.014492353561975351,-0.009138615329853366
frozenlake_8x8,0.2,200.0,per_group,200,10000,tail_no_cov-minus-tis,300,2.0650123601987322e-05,0.0005801615843603856,-0.0011164665817443686,0.001157766828948343
frozenlake_8x8,0.2,200.0,per_group,200,10000,uniform-minus-tis,300,0.006696505562698026,0.0017265013326519599,0.003312562950700185,0.010080448174695868
frozenlake_8x8,0.2,400.0,per_group,400,20000,learned_mean-minus-tis,300,-0.002142904196498181,0.000650615792100743,-0.0034181111490156372,-0.0008676972439807249
frozenlake_8x8,0.2,400.0,per_group,400,20000,mc_ucb_frozen-minus-tis,300,0.029290905087195316,0.0023421007751208882,0.024700387567958376,0.03388142260643226
frozenlake_8x8,0.2,400.0,per_group,400,20000,mean_influence-minus-tis,300,-0.0033577584151864817,0.0007011954163031537,-0.004732101431140663,-0.0019834153992323005
frozenlake_8x8,0.2,400.0,per_group,400,20000,occupancy-minus-tis,300,0.0006130373715852427,0.0008681379016679909,-0.0010885129156840193,0.0023145876588545047
frozenlake_8x8,0.2,400.0,per_group,400,20000,oracle_no_cov-minus-tis,300,-0.003157468719188706,0.0007245129275530367,-0.004577514057192658,-0.001737423381184754
frozenlake_8x8,0.2,400.0,per_group,400,20000,oracle_tail-minus-tis,300,-0.0033577584151864817,0.0007011954163031537,-0.004732101431140663,-0.0019834153992323005
frozenlake_8x8,0.2,400.0,per_group,400,20000,tail_no_cov-minus-tis,300,0.0002947883571750627,0.00021689823676949706,-0.00013033218689315155,0.0007199089012432768
frozenlake_8x8,0.2,400.0,per_group,400,20000,uniform-minus-tis,300,0.006725555836281266,0.0011222796951035482,0.004525887633878312,0.00892522403868422
rainy_taxi,0.1,50.0,per_group,50,1850,learned_mean-minus-tis,300,-0.0006570205014776065,0.0002750638455553704,-0.0011961456387661325,-0.00011789536418908061
rainy_taxi,0.1,50.0,per_group,50,1850,mc_ucb_frozen-minus-tis,300,0.0008966206508212252,0.0009198430758386718,-0.0009062717778225714,0.002699513079465022
rainy_taxi,0.1,50.0,per_group,50,1850,mean_influence-minus-tis,300,-0.00357093050051704,0.0006871447398004857,-0.0049177341905259925,-0.002224126810508088
rainy_taxi,0.1,50.0,per_group,50,1850,occupancy-minus-tis,300,-0.0029157493708112762,0.0006722196740260505,-0.004233299931902335,-0.0015981988097202172
rainy_taxi,0.1,50.0,per_group,50,1850,oracle_no_cov-minus-tis,300,-0.003471587787729845,0.0006765953901689976,-0.00479771475246108,-0.0021454608229986094
rainy_taxi,0.1,50.0,per_group,50,1850,oracle_tail-minus-tis,300,-0.0035994110928716915,0.0006818499002227168,-0.004935836897308216,-0.0022629852884351667
rainy_taxi,0.1,50.0,per_group,50,1850,tail_no_cov-minus-tis,300,-5.4696906461682014e-05,0.00020830092454960462,-0.00046296671857890703,0.00035357290565554304
rainy_taxi,0.1,50.0,per_group,50,1850,uniform-minus-tis,300,-0.0017369943170926546,0.0007058041236245373,-0.003120370399396748,-0.0003536182347885614
rainy_taxi,0.1,100.0,per_group,100,3700,learned_mean-minus-tis,300,-5.7231138754772376e-05,6.110173373113597e-05,-0.00017699053686779889,6.252825935825412e-05
rainy_taxi,0.1,100.0,per_group,100,3700,mc_ucb_frozen-minus-tis,300,0.00029184924027632705,0.00022653496870355552,-0.00015215929838264175,0.0007358577789352958
rainy_taxi,0.1,100.0,per_group,100,3700,mean_influence-minus-tis,300,-0.000759866371199782,0.00014862773395333843,-0.0010511767297483252,-0.00046855601265123864
