t,budget_per_kernel,replication,method,truth,error
0.0,25,35,learned_occupancy,0.3,-0.003703703703703709
0.0,25,35,learned_mean,0.3,-0.003703703703703709
0.0,25,35,tis,0.3,0.033333333333333326
0.0,25,35,tis_anchored,0.3,0.033333333333333326
0.0,25,35,oracle_tail,0.3,0.020000000000000018
0.0,25,35,complete_rollout,0.3,0.019999999999999962
0.0,25,36,uniform,0.3,-0.033333333333333326
0.0,25,36,learned_occupancy,0.3,-0.003703703703703709
0.0,25,36,learned_mean,0.3,-0.003703703703703709
0.0,25,36,tis,0.3,0.027380952380952395
0.0,25,36,tis_anchored,0.3,0.023232323232323215
0.0,25,36,oracle_tail,0.3,-0.033333333333333326
0.0,25,36,complete_rollout,0.3,0.006666666666666654
0.0,25,37,uniform,0.3,0.006666666666666654
0.0,25,37,learned_occupancy,0.3,-0.040740740740740744
0.0,25,37,learned_mean,0.3,-0.040740740740740744
0.0,25,37,tis,0.3,-0.04999999999999999
0.0,25,37,tis_anchored,0.3,-0.06984126984126987
0.0,25,37,oracle_tail,0.3,0.006666666666666654
0.0,25,37,complete_rollout,0.3,0.006666666666666654
0.0,25,38,uniform,0.3,0.020000000000000018
0.0,25,38,learned_occupancy,0.3,-0.003703703703703709
0.0,25,38,learned_mean,0.3,-0.003703703703703709
0.0,25,38,tis,0.3,-0.04999999999999999
0.0,25,38,tis_anchored,0.3,-0.01428571428571429
0.0,25,38,oracle_tail,0.3,0.020000000000000018
0.0,25,38,complete_rollout,0.3,0.006666666666666654
0.0,25,39,uniform,0.3,0.033333333333333326
0.0,25,39,learned_occupancy,0.3,0.033333333333333326
0.0,25,39,learned_mean,0.3,0.033333333333333326
0.0,25,39,tis,0.3,0.033333333333333326
0.0,25,39,tis_anchored,0.3,0.033333333333333326
0.0,25,39,oracle_tail,0.3,0.033333333333333326
0.0,25,39,complete_rollout,0.3,-0.033333333333333326
0.0,25,40,uniform,0.3,-0.033333333333333326
0.0,25,40,learned_occupancy,0.3,-0.07777777777777778
0.0,25,40,learned_mean,0.3,-0.07870370370370372
0.0,25,40,tis,0.3,-0.176984126984127
