environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,replication,method,truth,estimate,error,squared_error,pilot_per_group,pilot_total,main_total,exploration,design_constant,mc_ucb_score_range,mc_ucb_beta
cliffwalking_primary,0.1,400.0,per_group,400,59600,453,uniform,11.870935383221072,11.72885256139486,-0.14208282182621268,0.0201875282580993,0,0,59600,0.06400124688312879,8104.236782959191,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,453,tis,11.870935383221072,11.824499145852991,-0.04643623736808067,0.0021563241409047313,41,6109,53491,0.06400124688312879,116.433452155284,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,453,learned_occupancy,11.870935383221072,11.755824199109796,-0.11511118411127619,0.013250584707500124,41,6109,53491,0.06400124688312879,154.63663768731558,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,453,tail_anchored,11.870935383221072,11.809001030758166,-0.061934352462905906,0.0038358640149994587,41,6109,53491,0.06400124688312879,125.28281827754967,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,453,oracle_tail,11.870935383221072,11.813950065145177,-0.056985318075895464,0.0032473264762109782,0,0,59600,0.06400124688312879,101.70123376940508,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,454,uniform,11.870935383221072,11.58085158402816,-0.29008379919291194,0.08414861055419366,0,0,59600,0.06400124688312879,8104.236782959191,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,454,tis,11.870935383221072,11.802609796743955,-0.06832558647711728,0.004668385767442032,41,6109,53491,0.06400124688312879,113.884310899611,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,454,learned_occupancy,11.870935383221072,11.761630750346471,-0.10930463287460057,0.011947502767851212,41,6109,53491,0.06400124688312879,174.96021906504896,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,454,tail_anchored,11.870935383221072,11.779483873263526,-0.0914515099575457,0.00836337867351508,41,6109,53491,0.06400124688312879,131.6692203042907,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,454,oracle_tail,11.870935383221072,11.793158388672621,-0.07777699454845077,0.006049260880989741,0,0,59600,0.06400124688312879,101.70123376940508,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,455,uniform,11.870935383221072,11.965201532534596,0.0942661493135244,0.008886106906399675,0,0,59600,0.06400124688312879,8104.236782959191,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,455,tis,11.870935383221072,11.877860507536807,0.0069251243157353315,4.7957346788388745e-05,41,6109,53491,0.06400124688312879,119.42825607980045,,
cliffwalking_primary,0.1,400.0,per_group,400,59600,455,learned_occupancy,11.870935383221072,11.898811848076129,0.027876464855056682,0.0007770972928152104,41,6109,53491,0.06400124688312879,145.25233768773722,,
